"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set2.cycles:1.1-25.7",,3,5,10,40,2,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00728723,3,5,10,40,2,5,0,0,0
"set2.cycles:26.1-48.7",,2,4,11,24,2,4,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.018286,2,4,9,19,2,4,1,1,0
"set2.cycles:49.1-75.7",,2,6,12,24,1,6,1,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0078892,2,6,12,22,1,6,1,1,0
"set2.cycles:76.1-95.7",,2,4,7,12,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00675478,2,4,7,12,2,4,0,0,0
"set2.cycles:96.1-118.7",,2,5,8,20,2,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00702279,2,5,8,20,2,5,0,0,0
"set2.cycles:119.1-144.7",,3,5,12,40,2,5,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00757433,3,5,12,40,2,5,2,1,0
"set2.cycles:145.1-168.7",,3,4,10,26,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00716542,3,4,10,26,2,4,0,0,0
"set2.cycles:169.1-207.7",,3,8,23,51,2,6,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00783742,3,8,23,51,2,6,0,0,0
"set2.cycles:208.1-242.7",,3,7,19,55,2,6,1,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00861773,3,7,19,55,2,6,1,1,0
"set2.cycles:243.1-284.7",,3,9,24,79,2,8,3,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00838874,3,8,18,66,2,8,2,1,0
"set2.cycles:285.1-325.7",,3,9,23,55,1,8,1,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00942437,3,9,23,52,1,8,1,1,0
"set2.cycles:326.1-354.7",,3,6,14,53,1,4,4,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00779166,3,6,14,51,1,4,4,1,0
"set2.cycles:355.1-396.7",,3,8,25,35,2,7,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00701514,3,8,25,35,2,7,0,0,0
"set2.cycles:397.1-463.7",,3,16,42,87,1,13,3,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.010497,3,16,42,87,1,13,3,1,0
"set2.cycles:464.1-499.7",,2,6,21,27,2,4,4,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00800202,2,6,21,27,2,4,4,1,0
"set2.cycles:500.1-538.7",,2,9,21,33,2,9,3,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0078028,2,9,21,31,2,9,2,1,0
"set2.cycles:539.1-590.7",,3,9,35,94,3,6,6,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0104637,3,9,35,94,3,6,6,1,0
"set2.cycles:591.1-638.7",,3,8,32,72,2,7,3,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00671856,3,8,31,72,2,7,3,1,0
"set2.cycles:639.1-673.7",,3,6,19,55,1,6,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00793466,3,6,19,51,1,6,1,1,0
"set2.cycles:674.1-697.7",,2,5,9,24,2,5,1,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0080524,2,5,9,24,2,5,1,1,0
"set2.cycles:698.1-719.7",,2,4,8,16,2,4,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00735803,2,4,8,16,2,4,0,0,0
"set2.cycles:720.1-740.7",,2,4,8,20,2,4,2,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00704268,2,4,8,18,2,4,1,1,0
"set2.cycles:741.1-780.7",,3,8,23,57,1,7,4,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00831853,3,8,23,56,1,7,3,1,0
"set2.cycles:781.1-813.7",,2,6,18,26,1,4,4,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00832954,2,6,18,26,1,4,4,1,0
"set2.cycles:814.1-893.7",,3,13,59,122,3,11,5,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00675094,3,13,57,122,3,11,5,1,0
"set2.cycles:894.1-923.7",,2,6,15,26,1,5,3,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00759491,2,6,15,26,1,5,3,1,0
"set2.cycles:924.1-965.7",,2,10,23,40,2,8,4,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00927194,2,10,23,39,2,8,4,1,0
"set2.cycles:966.1-989.7",,1,5,9,10,2,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00725318,1,5,9,10,2,5,0,0,0
"set2.cycles:990.1-1013.7",,2,5,9,20,2,5,0,0,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.00671694,2,5,9,20,2,5,0,0,0
"set2.cycles:1014.1-1074.7",,3,11,41,47,2,6,3,1,0,"autfilt --file=%H --output=%O --small --high","ok",0,0.0100473,3,11,41,47,2,6,3,1,0
