"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set2.prec:1.1-25.7",,3,5,10,40,2,5,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00748346,3,5,10,40,2,5,0,0,0
"set2.prec:26.1-48.7",,2,4,11,24,2,4,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0153095,2,4,9,19,2,4,1,1,0
"set2.prec:49.1-75.7",,2,6,12,24,1,6,1,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00775892,2,6,12,22,1,6,1,1,0
"set2.prec:76.1-95.7",,2,4,7,12,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00759336,2,4,7,12,2,4,0,0,0
"set2.prec:96.1-118.7",,2,5,8,20,2,5,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00711241,2,5,8,20,2,5,0,0,0
"set2.prec:119.1-144.7",,3,5,12,40,2,5,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00838569,3,5,12,40,2,5,2,1,0
"set2.prec:145.1-168.7",,3,4,10,26,2,4,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00800149,3,4,10,26,2,4,0,0,0
"set2.prec:169.1-207.7",,3,8,23,51,2,6,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00746024,3,8,23,51,2,6,0,0,0
"set2.prec:208.1-242.7",,3,7,19,55,2,6,1,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00854279,3,7,19,55,2,6,1,1,0
"set2.prec:243.1-284.7",,3,9,24,79,2,8,3,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.009143,3,8,18,66,2,8,2,1,0
"set2.prec:285.1-325.7",,3,9,23,55,1,8,1,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00860956,3,9,23,52,1,8,1,1,0
"set2.prec:326.1-354.7",,3,6,14,53,1,4,4,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00967621,3,6,14,51,1,4,4,1,0
"set2.prec:355.1-396.7",,3,8,25,35,2,7,0,0,0,"autfilt --file=%H --output=%O --small","ok",0,0.00965828,3,8,25,35,2,7,0,0,0
"set2.prec:397.1-463.7",,3,16,42,87,1,13,3,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00970773,3,16,42,87,1,13,3,1,0
"set2.prec:464.1-499.7",,2,6,21,27,2,4,4,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00817152,2,6,21,27,2,4,4,1,0
"set2.prec:500.1-538.7",,2,9,21,33,2,9,3,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00936578,2,9,21,31,2,9,2,1,0
"set2.prec:539.1-590.7",,3,9,35,94,3,6,6,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00971704,3,9,35,94,3,6,6,1,0
"set2.prec:591.1-638.7",,3,8,32,72,3,7,3,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.007063,3,8,32,72,3,7,3,1,0
"set2.prec:639.1-673.7",,3,6,19,55,1,6,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0086422,3,6,19,51,1,6,1,1,0
"set2.prec:674.1-697.7",,2,5,9,24,2,5,1,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00845513,2,5,9,24,2,5,1,1,0
